Filename,Method,Model,Dataset,Train_Size,Learning_Rate,Avg_Acc,Avg_Chat,Avg_ChatH,Avg_Safe,Avg_Reas,Acc_List,Chat_List,ChatH_List,Safe_List,Reas_List
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_Llama-2-7b-hf_1000_0.0003_linear_1_personal_llm_controversial.log,ft_rm,llama,personal_llm,1000,0.0003,0.499,0.707,0.461,0.411,0.556,"['0.520', '0.488', '0.488']","['0.679', '0.696', '0.746']","['0.461', '0.461', 'NA']","['0.310', '0.513', 'NA']","['0.505', '0.607', 'NA']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_id_rm_UID_RM-Mistral-7B_200000_0.0003_linear_1_psoups_default.log,id_rm,rm-mistral,psoups,200000,0.0003,0.502,0.736,0.386,0.699,0.537,"['0.476', '0.488', '0.423', '0.565', '0.595', '0.466']","['0.736', '0.736', '0.736', '0.736', '0.736', '0.736']","['0.386', '0.386', '0.386', '0.386', '0.386', '0.386']","['0.699', '0.699', '0.699', '0.699', '0.699', '0.699']","['0.537', '0.537', '0.537', '0.537', '0.537', '0.537']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_id_rm_UID_RM-Mistral-7B_200000_0.0003_linear_1_summarization_default.log,id_rm,rm-mistral,summarization,200000,0.0003,0.655,0.967,0.614,0.932,0.827,"['0.669', '0.652', '0.655', '0.640', '0.658']","['0.967', '0.967', '0.967', '0.967', '0.967']","['0.614', '0.614', '0.614', '0.614', '0.614']","['0.932', '0.932', '0.932', '0.932', '0.932']","['0.827', '0.827', '0.827', '0.827', '0.827']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_Llama-2-7b-hf_3000_0.0003_linear_1_personal_llm_default.log,ft_rm,llama,personal_llm,3000,0.0003,0.662,0.721,0.447,0.470,0.538,"['0.777', '0.701', '0.650', '0.677', '0.626', '0.706', '0.578', '0.583']","['0.799', '0.749', '0.741', '0.745', '0.780', '0.765', '0.720', '0.469']","['0.397', '0.466', '0.463', '0.457', '0.418', '0.429', '0.466', '0.485']","['0.356', '0.525', '0.495', '0.553', '0.404', '0.417', '0.493', '0.515']","['0.488', '0.589', '0.619', '0.553', '0.447', '0.414', '0.589', '0.602']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_RM-Mistral-7B_100000_0.0003_linear_1_psoups_default.log,ft_rm,rm-mistral,psoups,100000,0.0003,0.662,0.759,0.576,0.822,0.768,"['0.591', '0.614', '0.775', '0.796', '0.690', '0.506']","['0.481', '0.957', '0.676', '0.958', '0.912', '0.572']","['0.662', '0.485', '0.733', '0.494', '0.414', '0.668']","['0.770', '0.916', '0.816', '0.889', '0.795', '0.745']","['0.706', '0.788', '0.855', '0.767', '0.702', '0.792']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_id_rm_UID_gemma-2b-it_200000_0.0003_linear_1_psoups_default.log,id_rm,gemma,psoups,200000,0.0003,0.539,0.510,0.481,0.487,0.505,"['0.555', '0.566', '0.570', '0.538', '0.554', '0.448']","['0.510', '0.510', '0.510', '0.510', '0.510', '0.510']","['0.481', '0.481', '0.481', '0.481', '0.481', '0.481']","['0.487', '0.487', '0.487', '0.487', '0.487', '0.487']","['0.505', '0.505', '0.505', '0.505', '0.505', '0.505']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_RM-Mistral-7B_3000_0.0003_linear_1_psoups_default.log,ft_rm,rm-mistral,psoups,3000,0.0003,0.498,0.965,0.612,0.923,0.851,"['0.421', '0.578', '0.324', '0.715', '0.476', '0.471']","['0.964', '0.964', '0.964', '0.966', '0.965', '0.965']","['0.614', '0.610', '0.614', '0.608', '0.612', '0.616']","['0.924', '0.922', '0.924', '0.922', '0.922', '0.922']","['0.851', '0.850', '0.853', '0.848', '0.850', '0.853']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_gemma-2b-it_200000_0.0003_linear_1_psoups_default.log,ft_rm,gemma,psoups,200000,0.0003,0.635,0.497,0.492,0.582,0.405,"['0.720', '0.566', '0.613', '0.710', '0.673', '0.529']","['0.269', '0.724', '0.241', '0.788', '0.691', '0.267']","['0.582', '0.446', '0.560', '0.403', '0.427', '0.534']","['0.512', '0.634', '0.507', '0.647', '0.677', '0.515']","['0.484', '0.438', '0.360', '0.341', '0.455', '0.350']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_id_rm_UID_gemma-2b-it_200000_0.0001_linear_1_psoups_default.log,id_rm,gemma,psoups,200000,0.0001,0.505,0.436,0.504,0.306,0.609,"['0.530', '0.524', '0.521', '0.468', '0.476', '0.511']","['0.436', '0.436', '0.436', '0.436', '0.436', '0.436']","['0.504', '0.504', '0.504', '0.504', '0.504', '0.504']","['0.306', '0.306', '0.306', '0.306', '0.306', '0.306']","['0.609', '0.609', '0.609', '0.609', '0.609', '0.609']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_RM-Mistral-7B_10000_0.0003_linear_1_personal_llm_default.log,ft_rm,rm-mistral,personal_llm,10000,0.0003,0.800,0.965,0.606,0.921,0.849,"['0.876', '0.863', '0.940', '0.858', '0.986', '0.853', '0.698', '0.323']","['0.964', '0.966', '0.964', '0.965', '0.966', '0.965', '0.964', '0.964']","['0.595', '0.599', '0.603', '0.606', '0.606', '0.599', '0.621', '0.621']","['0.921', '0.921', '0.921', '0.919', '0.921', '0.921', '0.922', '0.924']","['0.848', '0.848', '0.848', '0.848', '0.848', '0.850', '0.849', '0.850']"
prm_llama_b0.5_a0.5_lr1e-06_wm150_lrcosine_dataset_ultrafeedback_subsetcontroversial_size1000000.log,prm,llama,ultrafeedback,100000,1e-06,0.550,NA,NA,NA,NA,"['0.474', '0.626']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']"
pretrained_ultrafeedback_controversial_GRM-Gemma-2B-rewardmodel-ft.log,pretrained,gemma,ultrafeedback,NA,NA,0.576,NA,NA,NA,NA,"['0.642', 'nan', '0.510']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']","['NA', 'NA', 'NA']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_RM-Mistral-7B_300_0.0003_linear_1_psoups_default.log,ft_rm,rm-mistral,psoups,300,0.0003,0.497,0.965,0.610,0.922,0.851,"['0.421', '0.584', '0.324', '0.715', '0.464', '0.471']","['0.965', '0.965', '0.965', '0.965', '0.965', '0.965']","['0.610', '0.610', '0.610', '0.610', '0.610', '0.610']","['0.922', '0.922', '0.922', '0.922', '0.922', '0.922']","['0.851', '0.851', '0.851', '0.851', '0.851', '0.851']"
prm_llama_b0.5_a0.5_lr5e-06_wm150_lrcosine_dataset_summarization_subsetcontroversial_size1000000.log,prm,llama,summarization,100000,5e-06,0.642,NA,NA,NA,NA,"['0.627', '0.648', '0.655', '0.623', '0.658']","['NA', 'NA', 'NA', 'NA', 'NA']","['NA', 'NA', 'NA', 'NA', 'NA']","['NA', 'NA', 'NA', 'NA', 'NA']","['NA', 'NA', 'NA', 'NA', 'NA']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_general_UID_gemma-2b-it_100000_5e-05_linear_2_ultrafeedback_controversial.log,ft_rm,gemma,ultrafeedback,100000,NA,0.542,0.623,0.444,0.541,0.563,"['0.504', '0.579']","['0.623', '0.623']","['0.444', '0.444']","['0.541', '0.541']","['0.563', '0.563']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_RM-Mistral-7B_10000_0.0003_linear_1_psoups_default.log,ft_rm,rm-mistral,psoups,10000,0.0003,0.503,0.965,0.616,0.925,0.852,"['0.427', '0.578', '0.345', '0.726', '0.470', '0.471']","['0.964', '0.964', '0.965', '0.965', '0.965', '0.964']","['0.627', '0.610', '0.631', '0.591', '0.614', '0.625']","['0.925', '0.925', '0.925', '0.921', '0.929', '0.927']","['0.857', '0.852', '0.860', '0.839', '0.848', '0.856']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_RM-Mistral-7B_300_0.0003_linear_1_summarization_default.log,ft_rm,rm-mistral,summarization,300,0.0003,0.649,0.965,0.610,0.922,0.851,"['0.676', '0.667', '0.618', '0.634']","['0.965', '0.965', '0.965', '0.965']","['0.610', '0.610', '0.610', '0.610']","['0.922', '0.922', '0.922', '0.922']","['0.851', '0.851', '0.851', '0.851']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_gemma-2b-it_200000_0.0001_linear_2_psoups_default.log,ft_rm,gemma,psoups,200000,0.0001,0.578,0.465,0.492,0.546,0.427,"['0.518', '0.464', '0.669', '0.634', '0.583', '0.598']","['0.456', '0.533', '0.273', '0.700', '0.488', '0.337']","['0.483', '0.461', '0.554', '0.438', '0.481', '0.534']","['0.404', '0.571', '0.503', '0.666', '0.598', '0.531']","['0.423', '0.416', '0.437', '0.440', '0.413', '0.433']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_Llama-2-7b-hf_1000_0.0003_linear_1_psoups_default.log,ft_rm,llama,psoups,1000,0.0003,0.570,0.567,0.458,0.376,0.514,"['0.610', '0.518', '0.444', '0.608', '0.625', '0.615']","['0.264', '0.605', '0.528', '0.734', '0.738', '0.534']","['0.588', '0.418', '0.448', '0.435', '0.418', '0.442']","['0.525', '0.323', '0.276', '0.412', '0.437', '0.280']","['0.543', '0.591', '0.593', '0.400', '0.373', '0.583']"
pretrained_summarization_controversial_Starling-RM-7B-alpha.log,pretrained,starling,summarization,NA,NA,0.505,0.507,0.534,0.508,0.510,"['0.495', '0.521', '0.500', '0.451', '0.559']","['0.507', '0.507', '0.507', '0.507', '0.507']","['0.534', '0.534', '0.534', '0.534', '0.534']","['0.508', '0.508', '0.508', '0.508', '0.508']","['0.510', '0.510', '0.510', '0.510', '0.510']"
_home_yd358_rds_rds-semioticsteam-gLFG2ebmCDI_river_cache_models_ft_rm_UID_Llama-2-7b-hf_10000_0.0003_linear_1_personal_llm_default.log,ft_rm,llama,personal_llm,10000,0.0003,0.720,0.759,0.426,0.463,0.474,"['0.802', '0.744', '0.735', '0.772', '0.791', '0.824', '0.517', '0.575']","['0.803', '0.805', '0.796', '0.823', '0.834', '0.798', '0.750', '0.465']","['0.358', '0.425', '0.414', '0.409', '0.403', '0.429', '0.440', '0.534']","['0.467', '0.474', '0.435', '0.498', '0.444', '0.475', '0.429', '0.483']","['0.521', '0.468', '0.481', '0.432', '0.500', '0.411', '0.450', '0.532']"
